Date,AMZN
5/8/2014,288.320007
5/9/2014,292.23999
5/12/2014,302.859985
5/13/2014,304.640015
5/14/2014,297.619995
5/15/2014,295.190002
5/16/2014,297.700012
5/19/2014,296.76001
5/20/2014,301.190002
5/21/2014,305.01001
5/22/2014,304.910004
5/23/2014,312.23999
5/27/2014,310.820007
5/28/2014,310.160004
5/29/2014,313.779999
5/30/2014,312.549988
6/2/2014,308.839996
6/3/2014,307.190002
6/4/2014,306.779999
6/5/2014,323.570007
6/6/2014,329.670013
6/9/2014,327.5
6/10/2014,332.410004
6/11/2014,335.200012
6/12/2014,325.910004
6/13/2014,326.269989
6/16/2014,327.619995
6/17/2014,325.619995
6/18/2014,334.380005
6/19/2014,327
6/20/2014,324.200012
6/23/2014,327.23999
6/24/2014,324.160004
6/25/2014,327.440002
6/26/2014,325.690002
6/27/2014,324.570007
6/30/2014,324.779999
7/1/2014,332.390015
7/2/2014,332.850006
7/3/2014,337.48999
7/7/2014,333.549988
7/8/2014,323.809998
7/9/2014,329.970001
7/10/2014,327.920013
7/11/2014,346.200012
7/14/2014,355.320007
7/15/2014,354.440002
7/16/2014,355.899994
7/17/2014,352.450012
7/18/2014,358.660004
7/21/2014,359.76001
7/22/2014,360.839996
7/23/2014,358.140015
7/24/2014,358.609985
7/25/2014,324.01001
7/28/2014,320.410004
7/29/2014,320
7/30/2014,322.51001
7/31/2014,312.98999
8/1/2014,307.059998
8/4/2014,313.649994
8/5/2014,312.320007
8/6/2014,313.890015
8/7/2014,311.450012
8/8/2014,316.799988
8/11/2014,318.329987
8/12/2014,319.320007
8/13/2014,326.279999
8/14/2014,333.209991
8/15/2014,333.630005
8/18/2014,334.529999
8/19/2014,335.130005
8/20/2014,335.779999
8/21/2014,332.910004
8/22/2014,331.589996
8/25/2014,334.019989
8/26/2014,341.829987
8/27/2014,343.179993
8/28/2014,340.019989
8/29/2014,339.040009
9/2/2014,342.380005
9/3/2014,339
9/4/2014,345.950012
9/5/2014,346.380005
9/8/2014,342.339996
9/9/2014,329.75
9/10/2014,331.329987
9/11/2014,330.519989
9/12/2014,331.190002
9/15/2014,323.890015
9/16/2014,327.76001
9/17/2014,324
9/18/2014,325
9/19/2014,331.320007
9/22/2014,324.5
9/23/2014,323.630005
9/24/2014,328.209991
9/25/2014,321.929993
9/26/2014,323.209991
9/29/2014,321.820007
9/30/2014,322.440002
10/1/2014,317.459991
10/2/2014,318.410004
10/3/2014,322.73999
10/6/2014,322.200012
10/7/2014,316.980011
10/8/2014,322.700012
10/9/2014,315.369995
10/10/2014,311.390015
10/13/2014,306.450012
10/14/2014,308.309998
10/15/2014,305.970001
10/16/2014,302.859985
10/17/2014,303.640015
10/20/2014,306.209991
10/21/2014,315.329987
10/22/2014,312.970001
10/23/2014,313.179993
10/24/2014,287.059998
10/27/2014,289.970001
10/28/2014,295.589996
10/29/2014,294.119995
10/30/2014,299.070007
10/31/2014,305.459991
11/3/2014,305.720001
11/4/2014,302.809998
11/5/2014,296.519989
11/6/2014,296.640015
11/7/2014,299.859985
11/10/2014,305.109985
11/11/2014,312.01001
11/12/2014,311.51001
11/13/2014,316.480011
11/14/2014,327.820007
11/17/2014,323.049988
11/18/2014,324.929993
11/19/2014,326.540009
11/20/2014,330.540009
11/21/2014,332.630005
11/24/2014,335.640015
11/25/2014,335.040009
11/26/2014,333.570007
11/28/2014,338.640015
12/1/2014,326
12/2/2014,326.309998
12/3/2014,316.5
12/4/2014,316.929993
12/5/2014,312.630005
12/8/2014,306.640015
12/9/2014,312.5
12/10/2014,305.839996
12/11/2014,307.359985
12/12/2014,307.320007
12/15/2014,306.070007
12/16/2014,295.059998
12/17/2014,298.880005
12/18/2014,297.730011
12/19/2014,299.899994
12/22/2014,306.540009
12/23/2014,306.290009
12/24/2014,303.029999
12/26/2014,309.089996
12/29/2014,312.040009
12/30/2014,310.299988
12/31/2014,310.350006
1/2/2015,308.519989
1/5/2015,302.190002
1/6/2015,295.290009
1/7/2015,298.420013
1/8/2015,300.459991
1/9/2015,296.929993
1/12/2015,291.410004
1/13/2015,294.73999
1/14/2015,293.269989
1/15/2015,286.950012
1/16/2015,290.73999
1/20/2015,289.440002
1/21/2015,297.25
1/22/2015,310.320007
1/23/2015,312.390015
1/26/2015,309.660004
1/27/2015,306.75
1/28/2015,303.910004
1/29/2015,311.779999
1/30/2015,354.529999
2/2/2015,364.470001
2/3/2015,363.549988
2/4/2015,364.75
2/5/2015,373.890015
2/6/2015,374.279999
2/9/2015,370.559998
2/10/2015,373
2/11/2015,375.140015
2/12/2015,377.170013
2/13/2015,381.829987
2/17/2015,375.429993
2/18/2015,373.369995
2/19/2015,379
2/20/2015,383.660004
2/23/2015,380.140015
2/24/2015,378.589996
2/25/2015,385.369995
2/26/2015,384.799988
2/27/2015,380.160004
3/2/2015,385.660004
3/3/2015,384.609985
3/4/2015,382.720001
3/5/2015,387.829987
3/6/2015,380.089996
3/9/2015,378.559998
3/10/2015,369.51001
3/11/2015,366.369995
3/12/2015,374.23999
3/13/2015,370.579987
3/16/2015,373.350006
3/17/2015,371.920013
3/18/2015,375.140015
3/19/2015,373.23999
3/20/2015,378.48999
3/23/2015,375.109985
3/24/2015,374.089996
3/25/2015,370.959991
3/26/2015,367.350006
3/27/2015,370.559998
3/30/2015,374.589996
3/31/2015,372.100006
4/1/2015,370.26001
4/2/2015,372.25
4/6/2015,377.040009
4/7/2015,374.410004
4/8/2015,381.200012
4/9/2015,383.540009
4/10/2015,382.649994
4/13/2015,382.359985
4/14/2015,385.109985
4/15/2015,383.450012
4/16/2015,386.040009
4/17/2015,375.559998
4/20/2015,389.51001
4/21/2015,391.179993
4/22/2015,389.799988
4/23/2015,389.98999
4/24/2015,445.100006
4/27/2015,438.559998
4/28/2015,429.309998
4/29/2015,429.369995
4/30/2015,421.779999
5/1/2015,422.869995
5/4/2015,423.040009
5/5/2015,421.190002
5/6/2015,419.100006
5/7/2015,426.880005
5/8/2015,433.690002
5/11/2015,432.850006
5/12/2015,431.019989
5/13/2015,426.869995
5/14/2015,432.279999
5/15/2015,426
5/18/2015,425.23999
5/19/2015,421.709991
5/20/2015,423.859985
5/21/2015,431.630005
5/22/2015,427.630005
5/26/2015,425.470001
5/27/2015,431.420013
5/28/2015,426.570007
5/29/2015,429.230011
6/1/2015,430.920013
6/2/2015,430.98999
6/3/2015,436.589996
6/4/2015,430.779999
6/5/2015,426.950012
6/8/2015,423.5
