Date,AAPL,AMZN,GOOG,MSFT
2017-05-10,149.768448,948.9500119999999,928.7800289999999,67.336197
2017-05-11,151.063705,947.6199949999999,930.599976,66.51039899999999
2017-05-12,153.173401,961.349976,932.2199710000001,66.43267800000001
2017-05-15,152.780899,957.9699710000001,937.080017,66.481255
2017-05-16,152.555237,966.070007,943.0,67.819885
2017-05-17,147.433075,944.76001,919.6199949999999,65.93409
2017-05-18,149.68014499999998,958.48999,930.23999,66.158813
2017-05-19,150.190384,959.840027,934.01001,66.139282
2017-05-22,151.102982,970.669983,941.8599849999999,66.881851
2017-05-23,150.916519,971.5399779999999,948.820007,67.106606
2017-05-24,150.465149,980.349976,954.9600220000001,67.19453399999999
2017-05-25,150.985199,993.3800050000001,969.5399779999999,68.02507
2017-05-26,150.730072,995.7800289999999,971.4699710000001,68.35726899999999
